idx	run_id	config_path	out_dir	topology	arch	target_L0	coeff	calib_achieved_L0	seed
30	helix_relu_l1_t24_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_relu_l1_t24_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/relu_l1/t24_seed0	helix	relu_l1	24	0.1	24.90	0
31	helix_relu_l1_t24_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_relu_l1_t24_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/relu_l1/t24_seed1	helix	relu_l1	24	0.1	24.90	1
32	helix_relu_l1_t24_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_relu_l1_t24_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/relu_l1/t24_seed2	helix	relu_l1	24	0.1	24.90	2
33	helix_relu_l1_t32_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_relu_l1_t32_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/relu_l1/t32_seed0	helix	relu_l1	32	0.07	29.71	0
34	helix_relu_l1_t32_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_relu_l1_t32_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/relu_l1/t32_seed1	helix	relu_l1	32	0.07	29.71	1
35	helix_relu_l1_t32_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_relu_l1_t32_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/relu_l1/t32_seed2	helix	relu_l1	32	0.07	29.71	2
36	helix_jumprelu_t08_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t08_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t08_seed0	helix	jumprelu	8	0.7	10.14	0
37	helix_jumprelu_t08_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t08_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t08_seed1	helix	jumprelu	8	0.7	10.14	1
38	helix_jumprelu_t08_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t08_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t08_seed2	helix	jumprelu	8	0.7	10.14	2
39	helix_jumprelu_t16_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t16_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t16_seed0	helix	jumprelu	16	0.6	16.22	0
