idx	run_id	config_path	out_dir	topology	arch	sparsity_knob	sparsity_value	seed
98	sphere_relu_l1_l1_1e-04_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_relu_l1_l1_1e-04_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/relu_l1/l1_1e-04_seed2	sphere	relu_l1	l1_coeff	0.0001	2
99	sphere_relu_l1_l1_3e-04_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_relu_l1_l1_3e-04_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/relu_l1/l1_3e-04_seed0	sphere	relu_l1	l1_coeff	0.0003	0
100	sphere_relu_l1_l1_3e-04_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_relu_l1_l1_3e-04_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/relu_l1/l1_3e-04_seed1	sphere	relu_l1	l1_coeff	0.0003	1
101	sphere_relu_l1_l1_3e-04_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_relu_l1_l1_3e-04_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/relu_l1/l1_3e-04_seed2	sphere	relu_l1	l1_coeff	0.0003	2
102	sphere_relu_l1_l1_1e-03_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_relu_l1_l1_1e-03_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/relu_l1/l1_1e-03_seed0	sphere	relu_l1	l1_coeff	0.001	0
103	sphere_relu_l1_l1_1e-03_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_relu_l1_l1_1e-03_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/relu_l1/l1_1e-03_seed1	sphere	relu_l1	l1_coeff	0.001	1
104	sphere_relu_l1_l1_1e-03_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_relu_l1_l1_1e-03_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/relu_l1/l1_1e-03_seed2	sphere	relu_l1	l1_coeff	0.001	2
105	sphere_relu_l1_l1_3e-03_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_relu_l1_l1_3e-03_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/relu_l1/l1_3e-03_seed0	sphere	relu_l1	l1_coeff	0.003	0
106	sphere_relu_l1_l1_3e-03_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_relu_l1_l1_3e-03_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/relu_l1/l1_3e-03_seed1	sphere	relu_l1	l1_coeff	0.003	1
107	sphere_relu_l1_l1_3e-03_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_relu_l1_l1_3e-03_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/relu_l1/l1_3e-03_seed2	sphere	relu_l1	l1_coeff	0.003	2
108	sphere_relu_l1_l1_1e-02_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_relu_l1_l1_1e-02_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/relu_l1/l1_1e-02_seed0	sphere	relu_l1	l1_coeff	0.01	0
109	sphere_relu_l1_l1_1e-02_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_relu_l1_l1_1e-02_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/relu_l1/l1_1e-02_seed1	sphere	relu_l1	l1_coeff	0.01	1
110	sphere_relu_l1_l1_1e-02_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_relu_l1_l1_1e-02_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/relu_l1/l1_1e-02_seed2	sphere	relu_l1	l1_coeff	0.01	2
111	sphere_topk_k01_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_topk_k01_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k01_seed0	sphere	topk	k	1	0
112	sphere_topk_k01_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_topk_k01_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k01_seed1	sphere	topk	k	1	1
113	sphere_topk_k01_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_topk_k01_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k01_seed2	sphere	topk	k	1	2
114	sphere_topk_k02_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_topk_k02_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k02_seed0	sphere	topk	k	2	0
115	sphere_topk_k02_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_topk_k02_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k02_seed1	sphere	topk	k	2	1
116	sphere_topk_k02_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_topk_k02_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k02_seed2	sphere	topk	k	2	2
117	sphere_topk_k03_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_topk_k03_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k03_seed0	sphere	topk	k	3	0
118	sphere_topk_k03_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_topk_k03_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k03_seed1	sphere	topk	k	3	1
